#,Station Names
1,Alewife
2,Davis
3,Porter Square
4,Harvard Square
5,Central Square
6,Kendall/MIT
7,Charles/MGH
8,Park Street
9,Downtown Crossing
10,South Station
11,Broadway
12,Andrew
13,JFK/UMass
14,Savin Hill
15,Fields Corner
16,Shawmut
17,Ashmont
18,Cedar Grove
19,Butler
20,Milton
21,Central Avenue
22,Valley Road
23,Capen Street
24,Mattapan
25,North Quincy
26,Wollaston
27,Quincy Center
28,Quincy Adams
29,Braintree
30,Oak Grove
31,Malden Center
32,Wellington
33,Sullivan Square
34,Community College
35,North Station
36,Haymarket
37,State
38,Downtown Crossing
39,Chinatown
40,New England Medical Center
41,Back Bay
42,Massachusetts Avenue
43,Ruggles
44,Roxbury Crossing
45,Jackson Square
46,Stony Brook
47,Green Street
48,Forest Hills
49,Lechmere
50,Science Park
51,North Station
52,Haymarket
53,Government Center
54,Park Street
55,Boylston
56,Arlington
57,Copley
58,Hynes Convention Center
59,Kenmore
60,Blandford Street
61,Boston University East
62,Boston University Central
63,Boston University West
64,St. Paul Street (1)
65,Pleasant Street
66,Babcock Street
67,Packards Corner
68,Harvard Avenue
69,Griggs Street/Long Avenue
70,Allston Street
71,Warren Street
72,Washington Street
73,Sutherland Street
74,Chiswick Road
75,Chestnut Hill Avenue
76,South Street
77,Boston College
78,St. Marys Street
79,Hawes Street
80,Kent Street
81,St. Paul Street (2)
82,Coolidge Corner
83,Summit Avenue
84,Brandon Hall
85,Fairbanks
86,Washington Square
87,Tappan Street
88,Dean Road
89,Englewood Avenue
90,Cleveland Circle
91,Fenway
92,Longwood
93,Brookline Village
94,Brookline Hills
95,Beaconsfield
96,Reservoir
97,Chestnut Hill
98,Newton Center
99,Newton Highlands
100,Eliot
101,Waban
102,Woodland
103,Riverside
104,Prudential
105,Symphony
106,Northeastern University
107,Museum of Fine Arts
108,Longwood Medical Area
109,Brigham Circle
110,Fenwood Street
111,Mission Park
112,Riverway
113,Back of the Hill
114,Heath Street
115,Wonderland
116,Revere Beach
117,Beachmont
118,Suffolk Downs
119,Orient Heights
120,Wood Island
121,Airport
122,Maverick
123,Aquarium
124,State
125,Government Center
126,Bowdoin
